id;address;balance;label;sent;received
1;tôt échouer complètement;12168.13;svelte probablement;28012.31;10999.92
2;contre;8933.24;acquérir pschitt commis de cuisine;13598.31;373.64
3;sincère rapprocher euh;16753.69;quitte à;11868.7;32498.63
4;souple puisque;10765;occuper conseil d’administration dater;23951.52;19777.66
5;au-dehors;29703.14;derrière;13834.29;19926.45
6;blablabla doubler;24182.4;du fait que après que solitaire;7229.81;28272.62
7;aussitôt que ah en guise de;3037.59;si;1581.1;10511.58
8;à travers immense;19301.18;croâ;26091.93;20049.08
9;électorat relire;26934.02;quelquefois;6139.12;11320.12
10;triathlète;14859.21;avex loin de manipuler;19193.22;6141.68
