id;bitcoin_price;market_cap;exchange_volume;timestamp;currency;volume_change_24_h;percent_change_1_h;percent_change_24_h;percent_change_7_d;percent_change_30_d;percent_change_60_d;percent_change_90_d
1;27531.97;13403.23;15009.72;2023-11-09T21:00:49;miam inscrire ouf;17379.49;28232.65;18518.79;26076.68;30424.58;15663.11;11339.37
2;5524.02;11717.85;26146.66;2023-11-09T15:16:45;en guise de;25537.57;29854.65;16386.48;24458.38;5621.56;8740.58;5421.4
3;19454.77;8191.91;28480.64;2023-11-09T07:05:37;grossir plouf;18900.74;24671.26;9434.75;21209.96;18278.86;28171.55;17499.24
4;30105.79;4716.12;21162.17;2023-11-10T01:38:20;patientèle pour que;11546.51;7030.54;23043.1;5363.64;9027.85;22952.39;22890.43
5;1482.29;20531.32;3322.8;2023-11-10T04:05:16;derechef glisser triste;14497.47;9688.69;24350.27;19481.88;16590.37;3478.36;9274.95
6;31936.08;11330.5;28603.54;2023-11-10T04:25:36;multiplier longtemps;32595.91;5870.26;24360.67;21317.94;3590.21;22484.12;1574.9
7;22723.89;31539.16;30102.96;2023-11-09T19:07:03;en;19185.4;27982.47;29369.95;24273.61;22511.64;841.81;11148.64
8;16794.9;2016.52;32681.76;2023-11-10T00:59:03;corps enseignant;26049.08;31727.69;1697.99;17270.07;14550.35;19362.96;4430.63
9;24188.87;30253.78;15654.8;2023-11-10T00:53:26;à partir de au-dessous assez;28270.54;2724.84;3491.71;8070.07;14264.57;3647.91;25138.82
10;14767.14;9300.77;26625.26;2023-11-09T08:50:41;jusqu’à ce que;759.31;8372.12;10500.03;19366.84;12153.55;28242.81;3608.9
