id;transaction_count;average_transaction_fee;hashrate_distribution;timestamp;difficulty;network_hashrate
1;27378;7094.35;alors;2023-11-09T18:43:20;22265.59;31253.04
2;3278;17644.57;pendant que mesurer;2023-11-10T00:32:15;32.19;6591.36
3;8413;9464.63;dans la mesure où coupable touchant;2023-11-10T05:49:49;32054.18;12725.03
4;20994;32376.34;sous;2023-11-09T07:42:45;9484.21;1502.28
5;27917;2917.23;vide aux alentours de prestataire de services;2023-11-09T07:55:01;12295.1;28778.16
6;22692;577.91;extatique;2023-11-09T14:56:30;23240.35;15200.26
7;13585;16240.5;dessous;2023-11-09T21:00:39;8261.44;16647.49
8;30388;27861.71;aïe camarade bang;2023-11-10T05:13:37;8660.14;28449.85
9;3568;5866.1;clientèle;2023-11-09T10:35:14;4098.03;28010.85
10;13053;9839.17;direction drôlement de crainte que;2023-11-10T04:42:39;32107.22;13218.27
