id;trend_name;indicator_value;timestamp;trend_type
1;de peur que en plus de;30451.57;2023-11-10T02:17:51;comme hésiter
2;calme;10409.59;2023-11-09T16:22:18;assez
3;touchant;31535.42;2023-11-10T02:24:06;fade à condition que corps enseignant
4;en puisque;16908.94;2023-11-09T23:18:33;malgré passablement mairie
5;en étant donné que;10978.47;2023-11-09T11:53:44;conseil municipal sincère glouglou
6;jadis;11065.16;2023-11-09T23:28:30;quoique du moment que
7;concurrence de sorte que;16303.04;2023-11-09T22:03:59;aimer outre naguère
8;dring triathlète devant;8183.29;2023-11-09T12:10:21;toc miaou compliquer
9;psitt agréable;13888.07;2023-11-09T09:13:58;derrière
10;snif hystérique;21835.03;2023-11-09T13:07:30;terne d'abord insipide
