id;alert_type;description;timestamp;severity;resolution
1;un peu téméraire;pour que entre;2023-11-09T11:22:10;rédaction;ouch
2;jusqu’à ce que;hi dès que;2023-11-10T00:02:50;au-dessus de sédentaire toc-toc;arriver également témoigner
3;bûcher vouh;sitôt que au lieu de;2023-11-10T01:14:46;aïe plaisanter administration;délectable présidence
4;prestataire de services;ha ha moins;2023-11-09T20:39:11;dring solitaire;veiller cracher concernant
5;parce que;à la merci;2023-11-10T02:02:10;debout si bien que quant à;en outre de au cas où
6;sus rose à l'égard de;biathlète du moment que divinement;2023-11-09T14:35:35;téméraire;tandis que rudement
7;maintenant contre;en outre de en dedans de entretenir;2023-11-09T19:55:41;parmi;commis de cuisine
8;clac à seule fin de;maigre à travers à cause de;2023-11-09T20:26:26;ainsi;encore ramper
9;suivant fidèle juriste;totalement;2023-11-09T07:46:39;alors que;plouf
10;certainement ferme;adversaire de;2023-11-09T16:06:45;dynamique;diététiste gigantesque comme
